model,barrier_type,monitoring_freq,N,price,runtime_ms
NIG,down-and-out,12,1024,91.6433382199688,28.777599334716797
NIG,down-and-out,12,2048,91.61465376479609,94.451904296875
NIG,down-and-out,12,4096,91.48059961480385,369.95768547058105
NIG,down-and-out,12,8192,91.37496442601699,1282.7293872833252
NIG,down-and-out,12,16384,91.39418119564829,5013.204574584961
NIG,down-and-out,252,1024,91.65497902008147,294.9233055114746
NIG,down-and-out,252,2048,91.62668744310129,831.8333625793457
NIG,down-and-out,252,4096,91.48615615804424,2059.7829818725586
NIG,down-and-out,252,8192,91.37631594756024,5777.354717254639
NIG,down-and-out,252,16384,91.39617996829911,18036.38792037964
