model,barrier_type,monitoring_freq,N,price,runtime_ms
NIG,down-and-out,12,1024,0.629127685514042,32.40513801574707
NIG,down-and-out,12,2048,0.5666370371803305,105.32355308532715
NIG,down-and-out,12,4096,0.5916193645642326,361.09328269958496
NIG,down-and-out,12,8192,0.5703407350050351,1292.1488285064697
NIG,down-and-out,12,16384,0.5647692160773425,5397.705793380737
NIG,down-and-out,252,1024,0.6288546501623006,300.4870414733887
NIG,down-and-out,252,2048,0.5666787832407445,771.8510627746582
NIG,down-and-out,252,4096,0.5915589606705642,2822.7181434631348
NIG,down-and-out,252,8192,0.570341488443318,6229.244232177734
NIG,down-and-out,252,16384,0.5647692159626964,18942.251205444336
