M_sims,seed,lsmc_price,abs_error,rel_error_pct
500,12345,46.22064029302308,0.7911101850768247,1.7414007655308075
500,23456,43.29716274727837,2.1323673606678852,4.693791363461417
500,34567,41.56406668293802,3.8654634250082367,8.508702193976939
1000,12345,43.88930660554564,1.5402235024006146,3.390357546602068
1000,23456,43.940489588055556,1.4890405198907004,3.277692981531074
1000,34567,42.960519147407624,2.4690109605386326,5.434815096418459
2000,12345,43.223730630932465,2.205799477013791,4.85543097578279
2000,23456,43.03467943204286,2.394850675903399,5.271572631750612
2000,34567,41.648897125228586,3.7806329827176697,8.321972456537436
5000,12345,42.51989241927108,2.9096376886751756,6.404727677705474
5000,23456,43.06037704756706,2.3691530603791975,5.215006747262834
5000,34567,41.99186692653402,3.4376631814122334,7.567023416803817
10000,12345,42.71267114431907,2.716858963627189,5.98038094862877
10000,23456,42.93949873679347,2.4900313711527886,5.481085464093867
10000,34567,42.77695206828864,2.6525780396576195,5.838885045376348
